table_name,tier,exists_flag,object_type,row_count,min_trade_date,max_trade_date,distinct_trade_days,expected_key_columns,missing_key_columns,latest_lag_days,null_rate_summary,status,severity,recommendation
cn_local_industry_map_hist,P2_STRUCTURE,Y,BASE TABLE,5195,1991-01-29,2026-04-17,2070,"symbol, industry_id, in_date, out_date, is_current","in_date, out_date, is_current",20,symbol=0.0%; industry_id=0.0%,MISSING_COLUMNS,WARN,"Missing key columns: in_date, out_date, is_current."
cn_local_industry_proxy_daily,P2_STRUCTURE,Y,BASE TABLE,111379,2010-01-04,2026-04-29,3947,"industry_id, trade_date, member_count, ret_eqw, amount_total",amount_total,8,industry_id=0.0%; trade_date=0.0%; member_count=0.0%; ret_eqw=0.0%,MISSING_COLUMNS,WARN,Missing key columns: amount_total.
cn_stock_income,P3_REPORTING,Y,BASE TABLE,287061,1996-12-31,2026-03-31,97,"symbol, end_date, ann_date, report_type, total_revenue, n_income_attr_p",,37,symbol=0.0%; end_date=0.0%; ann_date=0.0%; report_type=0.0%; total_revenue=0.24%; n_income_attr_p=0.09%,OK,INFO,Table is healthy and up-to-date.
cn_stock_balancesheet,P3_REPORTING,Y,BASE TABLE,263774,2001-12-31,2026-03-31,77,"symbol, end_date, ann_date, report_type, total_assets, total_liab",,37,symbol=0.0%; end_date=0.0%; ann_date=0.0%; report_type=0.0%; total_assets=0.01%; total_liab=0.15%,OK,INFO,Table is healthy and up-to-date.
cn_event_disclosure_date,P3_REPORTING,Y,BASE TABLE,266112,2008-03-31,2026-03-31,73,"symbol, end_date, pre_date, actual_date",,37,symbol=0.0%; end_date=0.0%; pre_date=1.13%; actual_date=3.33%,OK,INFO,Table is healthy and up-to-date.
cn_event_earnings_forecast,P3_REPORTING,Y,BASE TABLE,114941,2008-01-02,2026-04-29,4296,"symbol, ann_date, end_date, forecast_type, p_change_min, p_change_max",,8,symbol=0.0%; ann_date=0.0%; end_date=0.0%; forecast_type=0.0%; p_change_min=7.43%; p_change_max=8.26%,OK,INFO,Table is healthy and up-to-date.
cn_ga_mainline_radar_daily,GA_LAYER,Y,BASE TABLE,26739,2026-01-05,2026-04-30,74,"trade_date, mainline_id, mainline_name, member_count, leader_count, mainline_score, mainline_state, rank_no, reason",,7,trade_date=0.0%; mainline_id=0.0%; mainline_name=0.0%; member_count=0.0%; leader_count=0.0%; mainline_score=0.0%; mainline_state=0.0%; rank_no=0.0%; reason=0.0%,STALE,INFO,Latest data is 7 days behind as-of date (threshold: 5d).
cn_ga_market_pulse_daily,GA_LAYER,Y,BASE TABLE,77,2026-01-05,2026-04-30,77,"trade_date, market_score, market_state, target_exposure, breadth_up_ratio, risk_flag, reason",,7,trade_date=0.0%; market_score=0.0%; market_state=0.0%; target_exposure=0.0%; breadth_up_ratio=0.0%; risk_flag=68.83%; reason=0.0%,STALE,INFO,Latest data is 7 days behind as-of date (threshold: 5d).
cn_ga_stock_role_map_daily,GA_LAYER,Y,BASE TABLE,5175,2026-02-27,2026-02-27,1,"trade_date, symbol, stock_name, mainline_id, mainline_name, leader_score, stock_role, role_score, role_reason",,69,trade_date=0.0%; symbol=0.0%; stock_name=32.17%; mainline_id=0.0%; mainline_name=0.0%; leader_score=0.0%; stock_role=0.0%; role_score=0.0%; role_reason=0.0%,STALE,INFO,Latest data is 69 days behind as-of date (threshold: 5d).
cn_ga_data_readiness_daily,GA_LAYER,Y,BASE TABLE,25,2026-04-30,2026-05-07,2,"trade_date, table_name, status, severity, row_count, max_trade_date, null_rate_summary","trade_date, severity, null_rate_summary",0,table_name=0.0%; status=0.0%; row_count=0.0%; max_trade_date=0.0%,MISSING_COLUMNS,INFO,"Missing key columns: trade_date, severity, null_rate_summary."
